trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.8, 'e': 0.32259693644685267}",20,0,-34.94208936998774,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.3161449977179156}",25,0,8.196992236476587,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.3098220977635573}",20,0,-9.348268353545164,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.30362565580828615}",20,0,-21.700288380589072,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.8, 'e': 0.2975531426921204}",25,8,23.001296473013994,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.291602079838278}",25,13,24.20161095048498,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.2857700382415124}",20,7,-1.131959291816683,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.2800546374766822}",25,12,7.486184787988757,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.27445354472714856}",30,8,10.295779704488424,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.2689644738326056}",20,11,-22.412517376512113,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.26358518435595346}",25,12,27.1978002532158,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.25831348066883436}",20,0,19.441045264880163,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.8, 'e': 0.2531472110554577}",30,7,-20.204692195795474,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.8, 'e': 0.24808426683434853}",25,8,-35.24805913511421,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.8, 'e': 0.24312258149766156}",25,2,-4.417002566005111,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.8, 'e': 0.2382601298677083}",20,8,-46.15767744464527,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.8, 'e': 0.23349492727035415}",25,0,2.903232812117495,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.8, 'e': 0.22882502872494706}",25,3,-12.184534177983462,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.22424852815044813}",20,5,26.251795137053072,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.21976355758743915}",25,12,9.470873704060134,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.21536828643569036}",20,10,2.065658173292195,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.21106092070697655}",25,0,27.80804859692657,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
